,Region,1990,1995,2000,2005,2010,2015,2020
70,   Burkina Faso,0.1,6.4,0.2,0.2,0.2,4.8,3.6
71,   Cabo Verde,~,~,~,~,~,~,~
72,   Côte d'Ivoire,7.5,14.3,5.6,1.9,1.1,0.1,0.1
73,   Gambia,0,4.4,6.6,4.4,4.5,4.1,2.1
74,   Ghana,2.5,32.9,6.8,19,4.3,4.6,2.8
75,   Guinea,80.5,86.8,76.3,28.8,8.3,7.1,5.7
76,   Guinea-Bissau,19.5,54.9,37.1,37.2,37.4,39.4,10.5
77,   Liberia,0.1,57.6,45.6,11.7,25,32.6,9.4
78,   Mali,8.3,10.2,4.4,5.1,4.5,3.9,5.7
79,   Mauritania,53.7,38.4,0.6,1.2,31.7,46.8,47.4
80,   Niger,0.7,18.9,0,0.3,0.3,49.3,62.6
81,   Nigeria,0.8,1.8,1.5,1,1.1,0.1,4.2
82,   Saint Helena*,~,~,~,~,~,~,~
83,   Senegal,21.5,23.2,9.8,9.8,8.9,6.6,5.9
84,   Sierra Leone,56.6,4.7,6.7,41.1,10.8,1.3,0.8
85,   Togo,4.1,10.7,8.9,4.8,5.6,8.2,4.5
86, ASIA,20.8,17.1,18.7,14.9,16,18.4,18.9
87,  Central Asia,0,0.9,2,1.3,0.2,0.1,0.1
88,   Kazakhstan,~,0.5,0.7,0.2,0.1,0,0
89,   Kyrgyzstan,~,2.6,2.8,1,1.3,0.3,0.3
90,   Tajikistan,0.7,0.2,5.2,0.4,1.7,0.8,1.9
91,   Turkmenistan,~,8.5,6.7,5.6,0,0,0
92,   Uzbekistan,~,0.2,2.8,3.3,0,0,0
93,  Eastern Asia,7.6,6.5,5.5,4.9,4.4,4.2,4.1
94,   China*,75.9,65.5,57.8,44.4,35.4,30.9,29.2
95,"   China, Hong Kong SAR*",0.5,0.2,0,0.1,0,0.1,0
96,"   China, Macao SAR*",~,~,~,~,0,0,~
97,"   China, Taiwan Province of China*",~,~,~,~,~,~,~
98,   Dem. People's Republic of Korea,~,~,~,~,~,~,~
99,   Japan,0.6,0.4,0.2,0.1,0.3,0.7,1.1
100,   Mongolia,~,~,~,~,0.1,0.1,0
101,   Republic of Korea,0.5,0,0,0.1,0.1,0.5,1.7
102,  South-Eastern Asia,5.5,4.5,6.1,2.9,2.4,2.8,2.8
103,   Brunei Darussalam,~,~,~,~,~,~,~
104,   Cambodia,~,0,0,0.2,0.2,0.1,0
105,   Indonesia,0.5,0.1,48.8,0.1,0.9,4,3.8
106,   Lao People's Democratic Republic,~,~,~,~,~,~,~
107,   Malaysia*,2.1,2.5,3.4,2.3,3.8,4.7,5.2
108,   Myanmar,~,~,~,~,~,~,~
109,   Philippines,12.9,0.4,0.1,0.1,0.2,0.2,0.5
110,   Singapore,0,0,~,~,0,~,~
111,   Thailand,18.9,13.2,8.3,6.8,3.3,3.4,2.7
112,   Timor-Leste,~,~,~,0.1,0,~,~
113,   Viet Nam,75.2,67.1,28.1,4.6,3.1,~,~
114,  Southern Asia,35.9,23.8,27.9,17.3,24.2,23.6,25.7
115,   Afghanistan,0,27.4,~,0.1,6.3,75.9,50.3
116,   Bangladesh,0,1.2,2.2,2,17,16.3,40.4
117,   Bhutan,~,~,~,~,~,~,~
118,   India,2.8,3.3,2.7,2.4,3.4,4,4.2
119,   Iran (Islamic Republic of),81.8,70.5,74.8,38.2,39.5,35.9,35
120,   Maldives,~,~,~,~,~,~,~
121,   Nepal,4,18.1,18,18.8,15.6,6.4,4
122,   Pakistan,52.6,32.8,47.9,34.3,48.2,44.7,43.6
123,   Sri Lanka,0,0,0.1,0.6,0.9,3.5,3.5
124,  Western Asia,16.9,22.4,23.3,23.5,21.3,25.9,25.6
125,   Armenia,~,31.5,42.6,46.8,1.6,10.1,9.5
126,   Azerbaijan*,~,67.9,16.7,1,0.7,0.6,0.5
127,   Bahrain,1,0.4,~,0,0,0,0
128,   Cyprus*,0,0.1,0.1,11.2,4.7,5.3,16.4
129,   Georgia*,~,2.1,8.4,3.5,0.9,3.5,3.1
130,   Iraq,1.1,58.5,60.7,38.7,31.3,79.3,78.4
131,   Israel,~,0.1,0.1,0.1,1.6,2.2,2.8
132,   Jordan,81.1,81.3,81.5,83.9,87.4,88.6,87.3
133,   Kuwait,2.8,0.4,0.2,0.1,0.2,0.1,0.1
134,   Lebanon,58.3,56.3,54.8,54.8,54.9,80.1,82
135,   Oman,~,~,~,0,0,0,0
136,   Qatar,~,~,0,0,0,0,0
137,   Saudi Arabia,0.7,0.3,0.1,3.7,0,0,0
138,   State of Palestine*,..,..,..,..,..,..,..
139,   Syrian Arab Republic,39.6,43.8,46.8,52.1,83,66.4,68
140,   Turkey,2.6,1.1,0.2,0.5,1.2,63.4,64.6
141,   United Arab Emirates,0,0,0,0,0,0,0.1
142,   Yemen,34.9,39.2,42.7,48.1,66.8,72.9,72.1
143, EUROPE,2.7,5.6,4.3,3.1,2.7,3.9,4.4
144,  Eastern Europe,0.2,0.2,0.2,0.2,0.3,2.1,0.5
145,   Belarus,~,2.4,0.1,0.1,0.1,0.2,0.3
146,   Bulgaria,~,4.1,6.4,8.5,9.1,21,11.7
147,   Czechia,~,1.6,0.5,0.8,0.9,1,0.7
148,   Hungary,13,3.5,2.3,2.4,1.3,8.6,1
149,   Poland,~,0.1,0.1,0.9,2.8,2.8,2.1
150,   Republic of Moldova*,~,~,0.1,0.1,0.2,0.5,0.5
151,   Romania,0.5,0.1,1.3,1.6,0.8,1.1,0.7
152,   Russian Federation,~,~,0.2,0,0.1,2.7,0.4
153,   Slovakia,~,3.4,0.7,2.4,0.5,0.6,0.5
154,   Ukraine*,~,0.1,0.1,0.1,0.1,0.2,0.1
155,  Northern Europe,3.1,5.5,6.3,5.4,4,4.9,4.2
156,   Channel Islands*,~,~,~,~,~,~,~
157,   Denmark*,13.5,16.8,18.9,10.2,4.3,5.1,5.4
158,   Estonia,~,~,~,0,0,0.1,0.2
159,   Faroe Islands*,~,~,~,~,~,~,~
160,   Finland*,3.4,7.6,9.6,6.1,4.7,11.8,8.2
161,   Iceland,0.4,1.1,1.6,1.3,0.3,0.9,2
162,   Ireland,0.2,0.2,4.2,1.6,1.9,1.5,1.8
163,   Isle of Man*,~,~,~,~,~,~,~
164,   Latvia,~,~,0,0,0,0.1,0.3
165,   Lithuania,~,~,0,0.3,0.5,0.9,1.5
166,   Norway*,10.2,20.4,16.3,11.9,10.1,10.1,6.5
167,   Sweden,13.9,21.3,16.7,8,7.6,20.4,14.1
168,   United Kingdom*,1.2,2.2,3.9,5.3,3.6,2,2.1
169,  Southern Europe,0.8,14.5,7.7,1.7,1.4,1.9,3.9
170,   Albania,4.5,6.6,0.7,0.1,0.2,1.8,0.3
171,   Andorra,~,~,~,~,~,~,~
172,   Bosnia and Herzegovina,~,~,46,22.8,18.4,17.7,16.6
173,   Croatia,~,29.5,3.8,0.5,0.2,0.1,0.3
174,   Gibraltar*,~,~,~,~,~,~,~
175,   Greece,1.4,0.5,0.8,0.9,4.3,4.1,13.9
176,   Holy See*,~,~,~,~,~,~,~
177,   Italy,0.9,0.5,0.3,0.5,1,3.1,4
178,   Malta,~,2.3,0.9,8.5,22.5,14.6,11
179,   Montenegro,~,~,~,~,20.8,2.5,1.6
180,   North Macedonia,~,8.3,7.2,1.6,1.2,0.5,0.3
181,   Portugal,0.2,0,0.1,0,0.1,0.2,0.3
182,   San Marino,~,~,~,~,~,~,~
183,   Serbia*,0.9,74.7,49.5,17.3,8.9,4.4,3.2
184,   Slovenia,~,12.8,5.4,0.2,0.2,0.2,0.4
185,   Spain*,1,0.6,0.4,0.1,0.1,0.3,2.8
186,  Western Europe,6.2,8.9,6.4,5.6,4.8,5.9,7.3
187,   Austria,4.7,4.8,4.9,5.5,5.4,10.3,9.4
188,   Belgium,2,2.5,1.5,2.7,2.4,4,3.6
189,   France*,3.3,2.6,2.1,2.7,3.4,4.3,6
190,   Germany,12.2,17,10.1,8.2,6.6,7.2,9.2
191,   Liechtenstein,~,~,0.5,1.1,0.6,1,0.6
192,   Luxembourg,0.3,0.6,0.5,1.2,2.4,1.5,1.5
193,   Monaco,~,~,~,~,~,0.1,0.1
194,   Netherlands*,1.5,5.9,9.4,7.7,4.8,5.8,4.7
195,   Switzerland,2.9,5.6,5.4,3.5,3,4.7,4.9
196, LATIN AMERICA AND THE CARIBBEAN,16.8,5.3,0.7,0.7,5.3,4.1,32.4
197,  Caribbean,0.6,0.3,0.1,0.1,0.2,0.1,6
198,   Anguilla*,~,~,~,~,~,~,0.2
199,   Antigua and Barbuda,~,~,~,~,~,0.1,~
200,   Aruba*,~,~,~,~,~,~,31.7
201,   Bahamas,~,0.2,0.3,~,0.1,0,0
202,   Barbados,~,~,~,~,~,~,0
203,"   Bonaire, Sint Eustatius and Saba*",~,~,~,~,~,~,~
204,   British Virgin Islands*,~,~,~,~,~,~,~
205,   Cayman Islands*,~,~,~,~,0,0.1,0.3
206,   Cuba,11.5,9.5,5.2,6.3,5.7,7.1,8.9
207,   Curaçao*,~,~,~,~,0,0.2,29
208,   Dominica,~,~,~,~,~,~,~
209,   Dominican Republic,0.9,0.3,0.1,~,0.6,0.2,5.7
210,   Grenada,~,~,~,~,~,~,~
211,   Guadeloupe*,~,~,~,~,~,~,~
212,   Haiti,~,~,~,~,~,0.1,0.1
213,   Jamaica,~,0.1,0.2,~,0.1,0.1,0.5
214,   Martinique*,~,~,~,~,~,~,~
215,   Montserrat*,~,~,~,~,1.1,~,~
216,   Puerto Rico*,~,~,~,~,~,~,~
217,   Saint Barthélemy*,~,~,~,~,~,~,~
218,   Saint Kitts and Nevis,~,~,~,~,~,~,~
219,   Saint Lucia,~,~,~,~,0.1,~,~
220,   Saint Martin (French part)*,~,~,~,~,~,~,~
221,   Saint Vincent and the Grenadines,~,~,~,~,~,~,0.8
222,   Sint Maarten (Dutch part)*,~,~,~,~,~,0,0
223,   Trinidad and Tobago,~,~,~,~,0.3,0.4,34.7
224,   Turks and Caicos Islands*,~,~,~,~,~,~,~
225,   United States Virgin Islands*,~,~,~,~,~,~,~
226,  Central America,63.5,24.2,3.4,1.3,2.3,1.8,17.6
227,   Belize,100,26.2,26.9,1.5,0.4,1.4,3.5
228,   Costa Rica,66.4,6.7,2.1,3.2,4.9,1.7,21.9
229,   El Salvador,43.3,26,0.1,0.1,0.1,0.1,0.2
230,   Guatemala,84.5,71.7,1.5,0.7,0.2,0.5,1.2
231,   Honduras,87.7,79.3,0,0.3,0.1,0.1,0.5
232,   Mexico,51.2,8.4,3.4,0.5,0.2,0.4,12.6
233,   Nicaragua,37.7,2.2,1.1,0.7,0.2,1.1,1.1
234,   Panama,2.2,1.2,1.6,2,11.1,11,43.4
235,  South America,0.7,0.8,0.1,0.6,7.7,5.7,39.5
236,   Argentina,0.7,0.5,0.2,0.2,0.2,0.2,8.1
237,   Bolivia (Plurinational State of),0.3,0.8,0.4,0.5,0.6,0.5,4
238,   Brazil,0.7,2.6,~,0.6,0.9,4.2,33.7
239,   Chile,0.2,0.2,0.2,0.3,0.5,0.5,28.2
240,   Colombia,0.6,0.4,0.2,0.2,0.3,0.2,93.5
241,   Ecuador,0.8,0.7,0.6,6.6,45.6,34.4,64.2
242,   Falkland Islands (Malvinas)*,~,~,~,~,~,~,~
243,   French Guiana*,10.4,4.7,~,~,~,~,~
244,   Guyana,~,~,~,~,0.1,0.1,70.8
245,   Paraguay,0,0,0,0,0.1,0.1,3.1
246,   Peru,1.3,1.1,1,1.5,1.3,1.2,70.9
247,   Suriname,0.3,0.2,~,~,0,0,3.1
248,   Uruguay,0.1,0.1,0.1,0.2,0.3,0.5,26.4
249,   Venezuela (Bolivarian Republic of),0.2,0.2,0,0.6,16.1,12.4,5.1
250, NORTHERN AMERICA,2.2,2.3,2.5,1.6,1,1.3,2.4
251,   Bermuda*,~,~,~,~,~,~,~
252,   Canada,3.4,3.1,2.3,2.8,3.2,2.1,2.5
253,   Greenland*,~,~,~,~,~,~,~
254,   Saint Pierre and Miquelon*,~,~,~,~,~,~,~
255,   United States of America*,2,2.2,2.6,1.4,0.6,1.2,2.3
256, OCEANIA ,2.3,1.8,1.6,1.4,0.5,0.9,1.8
257,  Australia and New Zealand,2.3,1.7,1.5,1.3,0.4,0.8,1.7
258,   Australia*,2.5,1.9,1.6,1.4,0.4,0.9,2
259,   New Zealand*,0.9,0.6,0.7,0.7,0.3,0.1,0.2
260,  Melanesia,8.9,9.9,7.4,9.6,8.8,8.4,7.9
261,   Fiji,~,~,~,~,0.1,0.1,0.1
262,   New Caledonia*,~,~,~,~,~,~,~
263,   Papua New Guinea,24,28.6,26.9,33.4,31.9,32.2,31.7
264,   Solomon Islands,~,~,~,~,~,~,~
265,   Vanuatu,~,~,~,~,~,~,~
266,  Micronesia,~,~,~,~,~,0.7,1
267,   Guam*,~,~,~,~,~,~,~
268,   Kiribati,~,~,~,~,~,~,~
269,   Marshall Islands,~,~,~,~,~,~,~
270,   Micronesia (Fed. States of),~,~,~,~,~,0.5,~
271,   Nauru,~,~,~,~,~,44.1,53.6
272,   Northern Mariana Islands*,~,~,~,~,~,~,~
273,   Palau,~,~,~,~,~,~,~
274,  Polynesia*,~,~,~,~,~,~,~
275,   American Samoa*,~,~,~,~,~,~,~
276,   Cook Islands*,~,~,~,~,~,~,~
277,   French Polynesia*,~,~,~,~,~,~,~
278,   Niue*,~,~,~,~,~,~,~
279,   Samoa,~,~,~,~,~,~,~
280,   Tokelau*,~,~,~,~,~,~,~
281,   Tonga,~,~,~,~,~,~,~
282,   Tuvalu,~,~,~,~,~,~,~
283,   Wallis and Futuna Islands*,~,~,~,~,~,~,~
